City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
214,bandarbeyla,SO,9.4942,50.8122,86.27,71,0,16.53,clear sky,0.0,0.0
215,batu,ID,-7.87,112.5283,68.7,97,99,1.14,light rain,0.56,0.0
216,asau,RO,46.4333,26.4,67.28,56,97,5.68,overcast clouds,0.0,0.0
217,sibolga,ID,1.7427,98.7792,78.42,87,97,2.95,overcast clouds,0.0,0.0
218,copiapo,CL,-27.3667,-70.3333,58.69,79,92,0.69,overcast clouds,0.0,0.0
219,cabo san lucas,MX,22.8909,-109.9124,74.52,54,100,13.56,overcast clouds,0.0,0.0
220,whitehorse,CA,60.7161,-135.0538,32.31,99,78,5.99,broken clouds,0.0,0.0
221,fernley,US,39.608,-119.2518,47.26,44,1,7.0,clear sky,0.0,0.0
222,wasilla,US,61.5814,-149.4394,43.07,78,0,8.05,clear sky,0.0,0.0
223,sabya,SA,17.1495,42.6254,93.72,46,5,13.8,clear sky,0.0,0.0
224,hansot,IN,21.5833,72.8,92.53,47,0,16.8,clear sky,0.0,0.0
225,naze,JP,28.3667,129.4833,68.63,90,100,9.06,moderate rain,1.15,0.0
226,porto velho,BR,-8.7619,-63.9039,80.65,83,0,2.3,clear sky,0.0,0.0
227,banes,CU,20.9625,-75.7186,79.7,73,0,7.07,clear sky,0.0,0.0
228,callaway,US,30.153,-85.5699,70.92,69,3,8.01,clear sky,0.0,0.0
229,belyy yar,RU,53.6039,91.3903,45.86,20,0,11.18,clear sky,0.0,0.0
230,ostersund,SE,63.1792,14.6357,42.62,60,0,16.11,clear sky,0.0,0.0
231,teguldet,RU,57.3064,88.1667,39.04,38,63,6.64,broken clouds,0.0,0.0
232,vacaria,BR,-28.5122,-50.9339,55.63,74,0,6.17,clear sky,0.0,0.0
233,fare,PF,-16.7,-151.0167,81.07,77,0,8.14,light rain,0.43,0.0
234,marrakesh,MA,31.6315,-8.0083,96.87,12,0,5.75,clear sky,0.0,0.0
235,ribeira grande,PT,38.5167,-28.7,64.8,68,20,9.22,few clouds,0.0,0.0
236,guilin,CN,25.2819,110.2864,72.7,90,100,1.68,overcast clouds,0.0,0.0
237,sabang,ID,5.8933,95.3214,84.09,76,100,18.48,overcast clouds,0.0,0.0
238,kununurra,AU,-15.7667,128.7333,66.18,68,0,2.3,clear sky,0.0,0.0
