City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
92,necochea,AR,63.52,clear sky,-38.5473,-58.7368,dyd -mar Hotel
93,alugan,PH,81.57,few clouds,12.2188,125.4808,JM Lodge
94,ballina,AU,60.78,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
95,pontes e lacerda,BR,74.52,broken clouds,-15.2261,-59.3353,Hotel Bressan
96,tuatapere,NZ,53.56,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
97,carauari,BR,73.96,overcast clouds,-4.8828,-66.8958,Hotel Fellip
98,pale,BA,64.15,scattered clouds,43.8161,18.5694,Hotel Damis
99,busselton,AU,60.06,clear sky,-33.65,115.3333,Observatory Guest House
100,mataura,NZ,50.49,overcast clouds,-46.1927,168.8643,Ellie's Villa
102,veraval,IN,84.88,clear sky,20.9,70.3667,Lords Inn Somnath
103,cape town,ZA,70.11,overcast clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
105,victoria,HK,78.19,overcast clouds,22.2855,114.1577,Mini Hotel Central
106,nome,US,32.11,mist,64.5011,-165.4064,Dredge 7 Inn
107,la ronge,CA,40.1,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
108,butaritari,KI,81.54,clear sky,3.0707,172.7902,Isles Sunset Lodge
109,korla,CN,70.86,clear sky,41.7597,86.1469,Gulisitan Hotel
110,saint anthony,US,55.02,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
111,male,MV,84.72,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
112,mar del plata,AR,61.95,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
113,yar-sale,RU,34.66,overcast clouds,66.8333,70.8333,Yalemd
114,bethel,US,51.53,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
116,sisimiut,GL,32.04,clear sky,66.9395,-53.6735,Hotel Sisimiut
117,sao filipe,CV,71.92,clear sky,14.8961,-24.4956,Hotel Xaguate
118,kahului,US,74.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
119,nanortalik,GL,36.77,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
121,kristianstad,SE,60.35,clear sky,56.0313,14.1524,First Hotel Christian IV
124,tuktoyaktuk,CA,31.46,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
125,bulgan,MN,63.34,overcast clouds,48.8125,103.5347,Unitel Булган салбар
126,san rafael,AR,65.97,clear sky,-34.6177,-68.3301,Hotel San Rafael
127,newtownards,GB,63.34,few clouds,54.5924,-5.6909,Strangford Arms Hotel
129,guerrero negro,MX,58.37,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
131,terrace,CA,40.42,overcast clouds,54.5163,-128.6035,Northern Motor Inn
132,nemuro,JP,43.39,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
133,baghdad,IQ,85.05,clear sky,33.3406,44.4009,Baghdad Hotel
135,severo-kurilsk,RU,38.59,overcast clouds,50.6789,156.125,Kak Doma
136,flin flon,CA,44.44,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
137,gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
138,husavik,IS,43.14,overcast clouds,66.0449,-17.3389,Bjarnabúð
139,sitka,US,39.09,scattered clouds,57.0531,-135.33,Westmark Sitka
140,carnarvon,AU,71.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
142,puerto boyaca,CO,74.91,overcast clouds,5.9758,-74.5885,hotel juanes
144,santander,ES,68.72,clear sky,43.4647,-3.8044,Abba Santander Hotel
145,hobyo,SO,85.19,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
146,kavieng,PG,83.5,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
147,czluchow,PL,62.64,scattered clouds,53.6672,17.3588,Hotel i Restauracja Nad Jeziorem Noclegi Blisko Jeziora Wypożyczalnia Rowerów
148,khorramshahr,IR,89.55,broken clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
149,broken hill,AU,53.13,clear sky,-31.95,141.4333,Royal Exchange Hotel
